place,year,yield_t_ha
Bara,197980,2.031
Bara,198081,2.074
Bara,198182,2.7
Bara,198283,1.257
Bara,198384,3.108
Bara,198485,2.768
Bara,198586,2.9
Bara,198687,2.687
Bara,198788,3.155
Bara,198889,3.088
Bara,199091,3.015
Bara,199192,3.315
Bara,199293,3.05
Bara,199394,2.95
Bara,199495,2.554
Bara,199596,2.772
Bara,199697,2.763
Bara,199798,2.95
Bara,199899,2.94
Bara,199900,3.291
Bara,200001,3.344
Bara,200102,3.404
Bara,200203,3.759
Bara,200304,3.783
Bara,200405,3.785
Bara,200506,3.674
Bara,200607,3.6
Bara,200708,3.748
Bara,200809,3.859
Bara,200910,3.496
Bara,201011,3.2
Bara,201112,4.2
Bara,201213,4.342
Bara,201314,4.751
Bara,201415,2.596
Bara,201516,2.597
Bara,201617,3.132
Bara,201718,3.996
Bara,201819,4.06
Bara,201920,4.14
Bara,202021,3.76
Bara,202122,3.89
Chitwan,197980,1.832
Chitwan,198081,1.942
Chitwan,198182,2.487
Chitwan,198283,2.011
Chitwan,198384,2.575
Chitwan,198485,2.646
Chitwan,198586,2.8
Chitwan,198687,2.356
Chitwan,198788,3.075
Chitwan,198889,2.7
Chitwan,199091,3.296
Chitwan,199192,3.161
Chitwan,199293,2.9
Chitwan,199394,2.61
Chitwan,199495,2.709
Chitwan,199596,2.615
Chitwan,199697,2.65
Chitwan,199798,2.65
Chitwan,199899,2.7
Chitwan,199900,2.746
Chitwan,200001,3.081
Chitwan,200102,3.314
Chitwan,200203,3.1
Chitwan,200304,2.8
Chitwan,200405,2.8
Chitwan,200506,2.374
Chitwan,200607,2.8
Chitwan,200708,3.227
Chitwan,200809,3.292
Chitwan,200910,2.885
Chitwan,201011,3.386
Chitwan,201112,3.49
Chitwan,201213,3.312
Chitwan,201314,3.4
Chitwan,201415,3.52
Chitwan,201516,3.399
Chitwan,201617,3.59
Chitwan,201718,3.88
Chitwan,201819,3.97
Chitwan,201920,4.0
Chitwan,202021,3.98
Chitwan,202122,3.82
Jhapa,197980,1.7
Jhapa,198081,1.75
Jhapa,198182,1.5
Jhapa,198283,1.501
Jhapa,198384,1.77
Jhapa,198485,1.542
Jhapa,198586,1.77
Jhapa,198687,1.715
Jhapa,198788,1.969
Jhapa,198889,2.495
Jhapa,199091,2.337
Jhapa,199192,2.844
Jhapa,199293,2.51
Jhapa,199394,2.603
Jhapa,199495,2.406
Jhapa,199596,2.705
Jhapa,199697,2.77
Jhapa,199798,2.634
Jhapa,199899,3.0
Jhapa,199900,3.084
Jhapa,200001,3.2
Jhapa,200102,2.941
Jhapa,200203,3.154
Jhapa,200304,3.242
Jhapa,200405,3.25
Jhapa,200506,3.22
Jhapa,200607,3.004
Jhapa,200708,3.25
Jhapa,200809,3.337
Jhapa,200910,3.3
Jhapa,201011,3.3
Jhapa,201112,3.6
Jhapa,201213,3.7
Jhapa,201314,4.127
Jhapa,201415,4.06
Jhapa,201516,3.797
Jhapa,201617,3.823
Jhapa,201718,3.996
Jhapa,201819,4.26
Jhapa,201920,4.4
Jhapa,202021,4.33
Jhapa,202122,4.38
Kapilbastu,197980,0.796
Kapilbastu,198081,1.8
Kapilbastu,198182,1.8
Kapilbastu,198283,1.301
Kapilbastu,198384,1.605
Kapilbastu,198485,1.716
Kapilbastu,198586,1.8
Kapilbastu,198687,1.222
Kapilbastu,198788,1.902
Kapilbastu,198889,1.978
Kapilbastu,199091,2.427
Kapilbastu,199192,1.5
Kapilbastu,199293,1.45
Kapilbastu,199394,2.36
Kapilbastu,199495,1.75
Kapilbastu,199596,2.384
Kapilbastu,199697,2.503
Kapilbastu,199798,1.0
Kapilbastu,199899,1.931
Kapilbastu,199900,2.076
Kapilbastu,200001,2.434
Kapilbastu,200102,2.5
Kapilbastu,200203,1.5
Kapilbastu,200304,2.457
Kapilbastu,200405,1.864
Kapilbastu,200506,2.18
Kapilbastu,200607,2.055
Kapilbastu,200708,2.243
Kapilbastu,200809,2.721
Kapilbastu,200910,2.291
Kapilbastu,201011,3.125
Kapilbastu,201112,2.9
Kapilbastu,201213,2.889
Kapilbastu,201314,3.27
Kapilbastu,201415,3.0
Kapilbastu,201516,2.216
Kapilbastu,201617,2.838
Kapilbastu,201718,2.742
Kapilbastu,201819,3.54
Kapilbastu,201920,3.51
Kapilbastu,202021,3.65
Kapilbastu,202122,3.19
Kaski,197980,2.258
Kaski,198081,2.277
Kaski,198182,2.108
Kaski,198283,2.0
Kaski,198384,2.195
