apple_image,blueberry_image,cherry_image,corn_image,gatekeeper_image,grape_image,orange_image,peach_image,pepper_image,potato_image,raspberry_image,soybean_image,strawberry_image,tomato_image,yield
apple_001.jpg,blueberry_001.jpg,cherry_001.jpg,corn_001.jpg,gatekeeper_001.jpg,grape_001.jpg,orange_001.jpg,peach_001.jpg,pepper_001.jpg,potato_001.jpg,raspberry_001.jpg,soybean_001.jpg,strawberry_001.jpg,tomato_001.jpg,5.63
apple_002.jpg,blueberry_002.jpg,cherry_002.jpg,corn_002.jpg,gatekeeper_002.jpg,grape_002.jpg,orange_002.jpg,peach_002.jpg,pepper_002.jpg,potato_002.jpg,raspberry_002.jpg,soybean_002.jpg,strawberry_002.jpg,tomato_002.jpg,5.99
apple_003.jpg,blueberry_003.jpg,cherry_003.jpg,corn_003.jpg,gatekeeper_003.jpg,grape_003.jpg,orange_003.jpg,peach_003.jpg,pepper_003.jpg,potato_003.jpg,raspberry_003.jpg,soybean_003.jpg,strawberry_003.jpg,tomato_003.jpg,5.84
apple_004.jpg,blueberry_004.jpg,cherry_004.jpg,corn_004.jpg,gatekeeper_004.jpg,grape_004.jpg,orange_004.jpg,peach_004.jpg,pepper_004.jpg,potato_004.jpg,raspberry_004.jpg,soybean_004.jpg,strawberry_004.jpg,tomato_004.jpg,6.5
apple_005.jpg,blueberry_005.jpg,cherry_005.jpg,corn_005.jpg,gatekeeper_005.jpg,grape_005.jpg,orange_005.jpg,peach_005.jpg,pepper_005.jpg,potato_005.jpg,raspberry_005.jpg,soybean_005.jpg,strawberry_005.jpg,tomato_005.jpg,5.85
apple_006.jpg,blueberry_006.jpg,cherry_006.jpg,corn_006.jpg,gatekeeper_006.jpg,grape_006.jpg,orange_006.jpg,peach_006.jpg,pepper_006.jpg,potato_006.jpg,raspberry_006.jpg,soybean_006.jpg,strawberry_006.jpg,tomato_006.jpg,6.61
apple_007.jpg,blueberry_007.jpg,cherry_007.jpg,corn_007.jpg,gatekeeper_007.jpg,grape_007.jpg,orange_007.jpg,peach_007.jpg,pepper_007.jpg,potato_007.jpg,raspberry_007.jpg,soybean_007.jpg,strawberry_007.jpg,tomato_007.jpg,6.27
apple_008.jpg,blueberry_008.jpg,cherry_008.jpg,corn_008.jpg,gatekeeper_008.jpg,grape_008.jpg,orange_008.jpg,peach_008.jpg,pepper_008.jpg,potato_008.jpg,raspberry_008.jpg,soybean_008.jpg,strawberry_008.jpg,tomato_008.jpg,7.62
apple_009.jpg,blueberry_009.jpg,cherry_009.jpg,corn_009.jpg,gatekeeper_009.jpg,grape_009.jpg,orange_009.jpg,peach_009.jpg,pepper_009.jpg,potato_009.jpg,raspberry_009.jpg,soybean_009.jpg,strawberry_009.jpg,tomato_009.jpg,5.87
apple_010.jpg,blueberry_010.jpg,cherry_010.jpg,corn_010.jpg,gatekeeper_010.jpg,grape_010.jpg,orange_010.jpg,peach_010.jpg,pepper_010.jpg,potato_010.jpg,raspberry_010.jpg,soybean_010.jpg,strawberry_010.jpg,tomato_010.jpg,8.03
apple_011.jpg,blueberry_011.jpg,cherry_011.jpg,corn_011.jpg,gatekeeper_011.jpg,grape_011.jpg,orange_011.jpg,peach_011.jpg,pepper_011.jpg,potato_011.jpg,raspberry_011.jpg,soybean_011.jpg,strawberry_011.jpg,tomato_011.jpg,7.38
apple_012.jpg,blueberry_012.jpg,cherry_012.jpg,corn_012.jpg,gatekeeper_012.jpg,grape_012.jpg,orange_012.jpg,peach_012.jpg,pepper_012.jpg,potato_012.jpg,raspberry_012.jpg,soybean_012.jpg,strawberry_012.jpg,tomato_012.jpg,7.64
apple_013.jpg,blueberry_013.jpg,cherry_013.jpg,corn_013.jpg,gatekeeper_013.jpg,grape_013.jpg,orange_013.jpg,peach_013.jpg,pepper_013.jpg,potato_013.jpg,raspberry_013.jpg,soybean_013.jpg,strawberry_013.jpg,tomato_013.jpg,6.08
apple_014.jpg,blueberry_014.jpg,cherry_014.jpg,corn_014.jpg,gatekeeper_014.jpg,grape_014.jpg,orange_014.jpg,peach_014.jpg,pepper_014.jpg,potato_014.jpg,raspberry_014.jpg,soybean_014.jpg,strawberry_014.jpg,tomato_014.jpg,5.43
